Cause,Title,Summary
Caught in/between Objects,Died being caught in between machines,"The accident occurred as victim was assigned to inspect and maintain excavator magnet machine. As maintenance work is carried out, the victim made a jump start on grappler to turn on excavator engine. Suddenly the grappler spinning and pinned the victim between the grappler and excavator"
Other,Died been buried,The accident occurred during the floor concreting work where falsework used as a supporter. Two workers were buried as floor above them suddenly collapsed and fell onto them
Struck By Moving Objects,Died crushed by entrance arch,"Victim with four co-workers were installing wood plate on the inside wall of the entrance arch structure for office building sales. As the piece of wood was being put in place, suddenly the structure of the gate began to tilt and collapsed onto victim"
Caught in/between Objects,Died due to mine cave-in,A series of avalanche trapped victim who was mining prior to the incident
Struck By Moving Objects,Died being run over by a lorry,Accident involving an employee who has been run over by a lorry while riding his motorcycle
Fires and Explosion,Died due to explosion of boiler,Accident involving three workers were killed as a result of boiler explosion
Falls,Died falling off the roof,"The victim and his two co-workers were performing roof replacement work. As he was on the roof, he stepped on broken down roof and fell down without a chance to wear a harness. The height between the ground and roof where victim was working approximately 10 meters"
Electrocution,Died due to electrocution,The victim was died due to electrocution. He is believed was carrying welding work in confined space
Collapse of object,Died struck by falling beam,Incident occured during the workers were performing brick installation work and slab suddenly collapsed. Victim was struck by falling beam and was pronounced dead by the ambulans
Caught in/between Objects,Died crushed by object,"Prior to the incident, the victim and his colleagues were carrying the job of binding Reinforcement Steel Cage. Steel Reinforcement Cage was put on designated place prepared for binding. Victim tied the cage at the top by climbing up the cage. As he went down, the cage suddenly roll and caused the victim to fell down along with the cage."
Fires and Explosion,Killed in mine explosion,Three workers were died due to coal explosion
Caught in/between Objects,Died being run over by Roller Compaction,Victim was died due to being struck by machinery that moves itself after being turned on . He is believed has fell and being run over as he attempts to stop that machine
Caught in/between Objects,Died crushed by object,Alleged victims was assigned to move the Tunnel Form to another place. It is believed that victim has slipped and fell on the floor and caused the Tunnel Form fell above him
Falls,Died falling from height,The victim fell from the roof as the roof installation works is being carried out
Falls,Died falling from height,Victim fell off the ground as he performing cable pulling job
Exposure to extreme temperatures,Died due to contact with hot water,The victim suffered 3rd degree burns from splash hot water gushes out of the steriliser as he opening the clutch door
Falls,Died falling from height,"The victim and his colleague were dismantling Shear Wall in Lift Shaft. Suddenly, working platform had collapsed and fell down along with the victims at a height of approximately 78 meters"
Electrocution,Died struck by lightning,"Victim, a security guard was struck by lightning as he was walking to the school gate"
Falls,Died falling from height,The accident involving a civilian who came to the construction site to find the job. Victim was found lying by the site personnel. Victim is believed to have fallen off the stairs
Falls,Died falling from height,"During the incident, victims was carrying out works of opening aluminum formwork sets mounted on mechanical & engineering drain hole in the 13th floor. The victim had fallen through a hole at a height of 32 meters"
Electrocution,Died struck by lightning,"Victim, a flagman was struck by lightning while performing his job controlling the traffic. He was working in an open area"
Struck By Moving Objects,Died being run over by forklift,"The incident took place in the cold room while the loading and unloading works is in progress. The victim suddenly entering the room to move the box containing foods and at the same time forklift was moving backward after lifting the ?nestainer?. As a result, victim was struck by that moving forklift. He died on the scene"
Falls,Died falling from height,"Prior to the incident, the victim was carrying mold installation works at the walls openings area. He fell on the ground as a result of stepping on the hollow section. The height between the working area and ground"
Exposure to extreme temperatures,Died due to burns,The victim who was assigned to perform work of replacing the bricks inside the boiler furnace. The accident occurred when the furnace collapsed and the hot ashes spread out and caught
Collapse of object,Died being crushed by pallet,"The incident took place during the removal of the final product namely tubing wrapping plastic from stor into the container using forklift while being watched by the victim. At that time, it was said that wrapping plastic tubing which is on the pallet has slipped and fell on the victim"
Caught in/between Objects,Died caught in a backhoe,"Victim, a stone crusher backhoe?s driver was assigned to do work of breaking the stone on the hill. The accident occurred as the victim reversing his vehicle after the completion of his work. Victim who fell approximately 20 meters along with the backhoe was found trapped in the driver's seat"
Falls,Died falling from height,The victim was found lying on the floor as it was believed he fell down from the place where he carrying works of removing form work
Falls,Died falling from height,Victim was assigned to repair the Gear Box at Incline Conveyor. He fell down as he stepped on rotten working platform
Struck By Moving Objects,Died being struck by lorry,"Victim, a lorry driver was killed after being run over by his vehicle. Prior to the incident, he parked the lorry on the steep road with intention to unchained the lorry"
Caught in/between Objects,Died crushed by tree,Victim and his colleague was assigned to cutting down trees. Victim cut a tree and as a result tree topple on another tree and caused that tree toppled over victim?s head
Struck By Moving Objects,Died being crushed by mobile crane?s boom,"A mobile crane was carrying works of lifting a bundle of scaffolding as victim was working within the working radius. Due to excessive load, the crane overturned and toppled over victim"
Struck By Moving Objects,Died crushed by tree,Victim and his colleague was assigned to cutting down trees. Victim cut a tree and as a result tree topple on another tree and caused that tree toppled over victim?s head
Falls,Died from falling into ravine,"Victim, a lorry driver was found dead. He is believed died due to falling into the ravine with his lorry"
Struck By Moving Objects,Died being hit by mobile crane,"Victim, crane operator was lifting a pile of 'reinforced bar' to be locate at one place between two building blocks. As the lifting works is in progress, suddenly crane off balanced and overturned. Victim was crush by the crane as he tried to got out of the cabin"
Exposure to Chemical Substances,Died due to the exposure of hazardous chemical,"Victim was found unconscious after got out of the cabin. During the incident, he was carrying out the air-conditioner maintenance works"
Caught in/between Objects,Died being struck by bricks,"The victim has been struck by falling bricks from the lifting tray. At the time, a tower craned was used to lift the lifting tray at the height of 26 meters"
Caught in/between Objects,Died being struck by pallet,"The victim and his colleagues were removing the glass door from the truck into the factory , which is still under construction . As the work undergoing, suddenly pallet containing glass door fell from the truck and hit the victim"
Caught in/between Objects,Died being caught in a machine,The incident occured as the victim was tagging the name on the product by using the designed machine. He died due to got caught between two arms of the machine
Caught in/between Objects,Died being crushed by forklift,The unbalanced forklift driven by the victim has caused it to overturned and crush the victim
Falls,Died falling from 10 metre height,"Victim was standing on plywood plate while carrying out plastering works. Suddenly, the place where he was standing has broken causing him to fall down"
Falls,Died falling from height,Victim was assigned to carry out binding and plastering works. He is believed has slipped and fell on the First Lower Ground while doing his job
Falls,Died being hit by object and fell,Victim fell down due to being hit by broken 'lifting lug' on the shaft. The incident took place during the preparation of lifting works using Overhead Travelling Crane (OTC)
Caught in/between Objects,Died being crushed by wood pallet,"Victim, 8 years old children died being struck by wood pallet as he attempted to climb the wood pallet"
Caught in/between Objects,Died being crushed by concrete structure,"Three victims were crushed by falling concrete structure as they fell down along with the structure. Prior to the incident, they were performing installation works of that concrete structure"
Electrocution,Died due to electrocution,He died being struck by eletricity as he was cutting the oil palm fruit
Struck By Moving Objects,Died being struck by vehicle,"Victim, a flagman was struck by vehicle while carrying his duty on the highway"
Falls,Died falling from height,There is an explosion at the top of short fiber storage tank as a result of the welding process. The explosion caused the workers thrown and fell from a height of 8.5 meters
Falls,Died falling from height,The accident happened on the 16th floor as the victim is believed was slipped and fell into elevator pit
Electrocution,Died due to electrocution,Victim is believed carrying works of knitting the oil palm fruits using his aluminium poles. He?s been electrocuted when his poles got stuck in the transformer
Caught in/between Objects,Died being crushed by Mechanical Buffalo @ badang,Victim was driving mechanical buffalo loaded with oil palm fruit along the steep road about 15 degree slope. That vehicle suddenly overturned and crash the driver
Falls,Died falling from height,Victim fell from level 2 after being hit by hook and block due to broken fly jib of mobile crane
Caught in/between Objects,Died being hit by Concrete Bold,The victim was crushed by concrete wall as he was carrying wall hacking works
Other,Died stung by wasps,A worker has been stung by wasps while
Caught in/between Objects,Died being caught in a Goods Lift,Victim's head was caught between Frame Cage and Landing Door
Struck By Moving Objects,Died being hit by Machine Tractor Hammer structure,The victim was struck by the structure as he was dismantling the top structure of the modified Hammer Machine Tractor
Falls,Died falling from height,Victim is believed to have fallen while trying to access to higher level by climbing the scaffolding
Struck By Moving Objects,Died being pinned by tractor,The incident took place as victim hit the divider with his tractor. The collision caused the tractor overturned and crash the driver
Struck By Moving Objects,Died from being run over by a lorry,"Victim, a lorry driver died being run over by a lorry. The incident occured when he was driving downhill in the lorry when suddenly the brakes malfunctioned. He jumped out of the lorry but was instead run over by the lorry"
Struck By Moving Objects,Died being run over by trailer,Victim was standing on the drawbar trailer towed by a tractor. He is believed to have fallen and being run over by trailer
Struck By Moving Objects,Died crushed by backhoe,Backhoe was overturned and fell on the victim as it was lifting the drain block
Falls,Died from falling into the tank,2 workers has fallen into the opening tank that filled with water. They were doing works of gantry pipe installation and welding
Drowning,Died due to drowning,A child who was not being accompanied by his guardian found dead at the bottom of the pool
Struck By Moving Objects,Died being pinned by steamroller,Victim was carrying road leveling work using steamroller. Suddenly he lost control of the steamroller caused the vehicle fell into the canal and crashed him
Struck By Moving Objects,Died being crushed by truck,"Truck was driving uphill during the incident as it suddenly lost control and overturned. Truck crash the victim as she was flung from the truck. During the incident, she was seated at the back of the truck"
Collapse of object,Three died due to concrete wall collapsed,Three workers died after being struck by concrete wall collapsed as they were carrying works of trench excavation
Struck By Moving Objects,Died being pinned by forklift,Forklift overturned and crash the driver while carrying work of lifting and placing jumbo bag
Other,Died being buried,"The trench wall collapsed and buried the victim. Prior to the incident, he was doing works of trench excavation"
Falls,Died falling from height,Victim was assigned to sweep garbage at every floor. He is believed to have fallen from a high place and was found lying on the balcony at level 4
Struck By Moving Objects,Died struck by backhoe,"Victim, a mechanic was carrying maintenance works on backhoe. The backhoe was lifted using a ' jack '. Backhoe has fallen and struck the victim due to instability position of the bakhoe"
Drowning,Died due to drowning,"Victim, a tractor driver was carrying land leveling works before he and his tractor fell into the lake"
Caught in/between Objects,Died struck by tree,Victim was struck by tree during forest clearing work
Falls,Died due to fall from roof,"Prior to the incident, victim was installing roof trusses with his colleague. He is believed had fallen from the roof at a height of approximately 18 feet from the ground"
Falls,Died falling from height,Victim was carrying out work of upgrading grill on a balcony at level 4. He is believed to have fallen along with the iron gril that he was welding.
Exposure to Chemical Substances,Died by insecticide poisoning,Victim was diagnosed with organophosphorus as he finished doing the activities involving handling of the insecticide
Drowning,Died due to drowning,The vehicle skidded and fell into the sea while trying to make a 'U' turn
Electrocution,Death by electric shock,The victim was electrocuted as he was doing maintenance work
Caught in/between Objects,Died being hit by shovel,The victim was hit by shovel as it move backwards
Caught in/between Objects,Died crushed by forklift,Forklift overturned and fell on top of the victim.
Falls,Died faling from height,8 years old boy was found dead on the floor. He is believed died due to falling from 15th floor
Falls,Died falling from 6th floor,"Victim was patching potholes on the wall. During the incident, he was standing on the scaffolds with walls opening"
Electrocution,Death by electric shock,The victim was electrocuted as he was testing the circuit
Falls,Died falling from height,A pile of iron rod tube that has being lifted by a crane has hit the victim causing him to fell approximately 9 meters
Electrocution,Died struck by lightning,The victim was killed by lightning as he was pouring the concrete
Other,Died was buried under by concrete collapse,Victim was concreting the floor as support structure for formwork fell onto him
Falls,Died falling from height,A general worker fell down from 26th floor as he was performing floor tiles installation
Struck By Moving Objects,Died being struck by rubber wood from the truck,A lorry driver died being hit by rubber wood as he trying to untie the knot
Caught in/between Objects,Died caught between two brick trucks,The victim went into two moving brick trucks and was caught between them
Struck By Moving Objects,Died being hit by lorry,The victim was driving up the steep road using the truck. The truck hit the divider and overturned. His head was struck by truck.
Caught in/between Objects,Died struck by circular concrete,"Victim, aged 10, was playing in the concrete tube while the concrete was being rolled by his/her friend. The concrete tube was said to have slipped and fell, crushing the victim's head"
Drowning,Died due to drowning,Victims carry out land clearing work using bulldozer. He is believed drowned after falling into the mine along with bulldozer.
Caught in/between Objects,Died being crushed by concrete gate,Victim was struck by falling concrete gate due being hit by a lorry
Falls,Died falling from height,The victim fell from a height of 15 meters as he was nailing wood
Struck By Moving Objects,Fatal accident involving Express Bus,An accident involving express bus has occured at 301.5 KM north-south expressway. The driver was killed while 2 passengers were injured.
Falls,Died falling into depth,The driver fell into the ravine as he was reversing the tractor. The driver was found pinned between the steering and tractor body.
Falls,Died falling from height,The victim had fallen down as the floor he stepped on broke.
Falls,Died falling from height,The victim fell down the void area while performing the installation of the working platform on scaffolding
Struck By Moving Objects,Death pinned by tractor,Victim?s body had been run over by a tire as he slipped down the tractor he was driving.
Caught in/between Objects,Died caught in an tractor,The victim was died being crushed by tractor on his way down to collect palm fruits.
Falls,Died falling from height,Victim fell to the ground as he was dismantling the scaffolding
Struck By Moving Objects,Fatal accident involving Express Bus,An accident involving express bus has occurred at 107.2KM North-South Expressway. 3 passengers were killed in this accident.
Falls,Falling into the oil reservoir,Victim slipped and fell into the reservoir containing hot water and oil.
Falls,Died falling from height,"As the victim installing the wall cladding to the building structure, he fell from a height of 12-18 metres."
Falls,Died falling from height,Victim fell from a high place while performing his duty of installing the roof of a hall.
Caught in/between Objects,Died pinned by containers,Accident involving a local worker who was caught between two containers while inspecting the seal number of a container.
Drowning,Died due to drowning,Victim fell into a pond as he was collecting water samples for laboratory work.
Collapse of object,Died crushed by collapsing wall,Incident occured during housekeeping works when suddenly a wall collapsed and crash onto the victim.
Caught in/between Objects,Died caught between objects,"Victim was found pinned between a truck's body and head. At the time, he was doing repair works on the truck."
Electrocution,Death due to electrocution,Victim was electrocuted while doing service line installation from a house to a utility pole.
Struck By Moving Objects,Died being hit by tractor,"During incident, the victim who was driving a tractor came down a steep and sharp corner. He lost control of the tractor and as a result, the tractor overturned and crash onto him."
Caught in/between Objects,Died struck by aluminium formwork,A 7 kg aluminium plate struck onto the victim's head. He was pronounced dead at the hospital.
Falls,Died falling from height,Victim is believed to have lost balance while boarding a hanging platform. A sudden slight movement to the platform caused the victim to slip and fell down.
